epoch,train_loss,val_loss,type_acc,type_macro_f1,part_acc,part_macro_f1,integrity_acc,integrity_macro_f1,material_acc,material_macro_f1,mean_macro_f1,backbone_trainable,backbone_lr,head_lr
1,0.7781639045379201,0.5594020783901215,0.702020202020202,0.6666398804242949,0.5660377358490566,0.4709585382292005,0.8557692307692307,0.6027501909854851,0.7376237623762376,0.5808093474877183,0.5802894892816747,0,0.0,0.0003
2,0.5008225724345348,0.4496391713619232,0.7424242424242424,0.7009605166536319,0.5566037735849056,0.5718777179623971,0.9423076923076923,0.7538461538461538,0.8217821782178217,0.7607776402640264,0.6968655071815523,1,3e-05,0.00022524999999999995
3,0.2525859015886901,0.40715573728084564,0.7424242424242424,0.704189405365876,0.6509433962264151,0.6355555555555557,0.9278846153846154,0.7219994653835873,0.8168316831683168,0.7130693193193193,0.6937034364060846,1,1.55e-05,7.575000000000001e-05
4,0.13924544609960962,0.360347996537502,0.7777777777777778,0.7467674505976428,0.6415094339622641,0.631556350626118,0.9230769230769231,0.712607944732297,0.8415841584158416,0.7172713220585561,0.7020507670036535,1,1e-06,1e-06
