epoch,train_loss,val_loss,type_acc,type_macro_f1,part_acc,part_macro_f1,integrity_acc,integrity_macro_f1,material_acc,material_macro_f1,mean_macro_f1,backbone_trainable,backbone_lr,head_lr
1,0.8303137005403124,0.8043107599020004,0.6232876712328768,0.5685088385231857,0.46987951807228917,0.24998762157382845,0.88,0.5923913043478262,0.6986301369863014,0.49467854445411286,0.4763915772247383,0,0.0,0.0003
2,0.5492239245052996,0.6961268097162246,0.684931506849315,0.6553759965524671,0.5060240963855421,0.4733931343798517,0.9,0.6727272727272727,0.7191780821917808,0.6086340463814475,0.6025326125102598,0,0.0,0.0002886199901104373
3,0.4782651960849762,0.6120257794857025,0.7465753424657534,0.7098290080038806,0.5783132530120482,0.548931370394785,0.96,0.8226950354609929,0.7876712328767124,0.6678921476282489,0.6873368903719769,1,3e-05,0.00025621246378738883
4,0.2398543607058196,0.5969750195741653,0.773972602739726,0.7324715157070288,0.6987951807228916,0.6209469153515064,0.8866666666666667,0.6755312380710013,0.7876712328767124,0.6638342196151527,0.6731959721861723,1,2.8057368354874363e-05,0.00020771117313858088
5,0.10973560514635053,0.6008431017398834,0.6986301369863014,0.6997085690952575,0.7349397590361446,0.6416083916083917,0.8933333333333333,0.6848739495798319,0.773972602739726,0.6420298479597671,0.6670551895608121,1,2.275e-05,0.00015049999999999997
6,0.058752641916788854,0.6261757552623749,0.8013698630136986,0.7645415375965661,0.7469879518072289,0.6470326603584354,0.9266666666666666,0.7410139695495213,0.8013698630136986,0.7408249158249157,0.7233532708323597,1,1.55e-05,9.328882686141906e-05
7,0.023285081770656437,0.6693675667047501,0.8082191780821918,0.7763789251415167,0.7108433734939759,0.6199743589743589,0.92,0.6453900709219859,0.8424657534246576,0.7797405547584888,0.7053709774490876,1,8.250000000000004e-06,4.478753621261114e-05
8,0.011734780132898996,0.6362112671136856,0.7808219178082192,0.7578845101258895,0.7469879518072289,0.6522238163558105,0.92,0.6453900709219859,0.8287671232876712,0.7683971207301006,0.7059738795334467,1,2.9426316451256386e-06,1.238000988956263e-05
9,0.007537680710184163,0.6537748754024506,0.8082191780821918,0.7797313797313796,0.7349397590361446,0.6410179294389822,0.92,0.6453900709219859,0.8493150684931506,0.7861802413273001,0.713079905354912,1,1e-06,1e-06
