path,width,height,aspect
data/raw/images/БП11-Р01-Г01-1405_orig.jpg,1080,1171,0.9222886421861657
data/raw/images/БП11-Р01-Г01-1192_orig.jpg,1080,651,1.6589861751152073
data/raw/images/БП11-Р01-Г01-1197_orig.jpg,1080,848,1.2735849056603774
data/raw/images/БП11-Р01-Г01-1396_orig.jpg,1080,1256,0.8598726114649682
data/raw/images/БП11-Р01-Г01-1248_orig.jpg,1080,1282,0.8424336973478939
data/raw/images/БП11-Р01-тех-0060_orig.jpg,1080,797,1.355081555834379
data/raw/images/БП11-Р01-Г01-1289_orig.jpg,1080,1101,0.9809264305177112
data/raw/images/БП11-Р01-Г03-6484_orig.jpg,1080,1491,0.7243460764587525
data/raw/images/БП11-Р01-тех-0394_orig.jpg,1080,440,2.4545454545454546
data/raw/images/БП11-Р01-Г03-6483_orig.jpg,1080,683,1.581259150805271
data/raw/images/Кроп-2013-151_orig.jpg,4421,4894,0.903351042092358
data/raw/images/Кроп-2013-152_orig.jpg,3880,5592,0.6938483547925608
data/raw/images/Кроп-2013-155_orig.jpg,4843,2210,2.191402714932127
data/raw/images/Кроп-2013-158_orig.jpg,1747,2357,0.7411964361476453
data/raw/images/Кроп-2013-159_orig.jpg,4727,9687,0.4879735728295654
data/raw/images/Кроп-2013-163_orig.jpg,3238,8549,0.37875774944437945
data/raw/images/Кроп-2013-186_orig.jpg,4357,7254,0.6006341328921974
data/raw/images/Кроп-2013-203_orig.jpg,15292,3547,4.311248942768537
data/raw/images/Кроп-2013-204_orig.jpg,10253,2825,3.6293805309734513
data/raw/images/Кроп-2013-218_orig.jpg,12499,3147,3.9717190975532253
data/raw/images/Кроп-2013-240_orig.jpg,5731,5583,1.0265090453161383
data/raw/images/Кроп-2013-243_orig.jpg,4421,9200,0.48054347826086957
data/raw/images/Кроп-2013-248_orig.jpg,5822,6044,0.9632693580410324
data/raw/images/Кроп-2013-252_orig.jpg,4352,10732,0.4055162131941856
data/raw/images/Кроп-2013-262_orig.jpg,4762,11893,0.4004035987555705
data/raw/images/Кроп-2013-263_orig.jpg,4521,10677,0.4234335487496488
data/raw/images/Кроп-2013-266_orig.jpg,5494,10530,0.5217473884140551
data/raw/images/Кроп-2013-267_orig.jpg,3669,14212,0.25816211652124965
data/raw/images/Кроп-2013-268_orig.jpg,4598,9607,0.47860934735089
data/raw/images/Кроп-2013-285_orig.jpg,3911,8529,0.4585531715324188
