epoch,train_loss,val_loss,type_acc,type_macro_f1,part_acc,part_macro_f1,integrity_acc,integrity_macro_f1,material_acc,material_macro_f1,mean_macro_f1,backbone_trainable,backbone_lr,head_lr
1,0.7939953589048542,0.5551375861351306,0.6464646464646465,0.6108646805735711,0.5283018867924528,0.44485148514851486,0.8605769230769231,0.6076747967479674,0.7772277227722773,0.6636515531252374,0.5817606288988226,0,0.0,0.0003
2,0.5047630218208813,0.3946333344166095,0.7575757575757576,0.7362133466257523,0.6037735849056604,0.5446868361292212,0.9086538461538461,0.6688730624214495,0.806930693069307,0.7263317408948476,0.6690262465178177,1,3e-05,0.00022524999999999995
3,0.2513281152140899,0.38473470967549545,0.7222222222222222,0.6836300397510022,0.7169811320754716,0.6921722922322622,0.9230769230769231,0.6936671575846833,0.8168316831683168,0.8291858120900151,0.7246638254144907,1,1.55e-05,7.575000000000001e-05
4,0.14578527236571076,0.3361803740262985,0.8080808080808081,0.7814543110421939,0.6792452830188679,0.7196452417546423,0.9230769230769231,0.6936671575846833,0.8613861386138614,0.8755723543573108,0.7675847661847075,1,1e-06,1e-06
