epoch,train_loss,val_loss,type_acc,type_macro_f1,part_acc,part_macro_f1,integrity_acc,integrity_macro_f1,material_acc,material_macro_f1,mean_macro_f1,backbone_trainable,backbone_lr,head_lr
1,0.8815679311752319,0.7945314973592759,0.5958904109589042,0.5302239258407943,0.4457831325301205,0.22235690235690236,0.88,0.5923913043478262,0.6986301369863014,0.49178308718709013,0.4591888049331532,0,0.0,0.0003
2,0.6070244610309601,0.6891385227441787,0.6438356164383562,0.6124623967015271,0.5180722891566265,0.38618546935682485,0.86,0.6222568653315745,0.7191780821917808,0.6102544974917834,0.5577898072204275,0,0.0,0.0002886199901104373
3,0.5883161616325379,0.5794814109802247,0.6301369863013698,0.6189489363682912,0.5180722891566265,0.37001599147121533,0.86,0.6603773584905661,0.7808219178082192,0.678192546583851,0.5818837082284809,1,3e-05,0.00025621246378738883
4,0.31812555968761447,0.5213872581720352,0.7808219178082192,0.7439895517843693,0.6144578313253012,0.48489146595301813,0.9333333333333333,0.7321428571428572,0.8013698630136986,0.6742216117216118,0.6588113716504641,1,2.8057368354874363e-05,0.00020771117313858088
5,0.14521660551428794,0.5737459138035774,0.8082191780821918,0.7833015612660227,0.5903614457831325,0.5583861305506094,0.9133333333333333,0.7163636363636363,0.7945205479452054,0.6513202195324133,0.6773428869281705,1,2.275e-05,0.00015049999999999997
6,0.06452218979597092,0.5926093220710754,0.8356164383561644,0.8114776175830463,0.6385542168674698,0.5754147465437789,0.8933333333333333,0.6848739495798319,0.8013698630136986,0.6687412579112479,0.6851268929044763,1,1.55e-05,9.328882686141906e-05
7,0.029763541743159296,0.5812737867236137,0.815068493150685,0.7858118398427905,0.6506024096385542,0.5879452054794521,0.94,0.7193930575763874,0.815068493150685,0.6778508504851216,0.6927502383459379,1,8.250000000000004e-06,4.478753621261114e-05
8,0.016580544710159302,0.5924527883529663,0.815068493150685,0.7840921060605345,0.6385542168674698,0.5893795093795093,0.9333333333333333,0.7044917257683214,0.8082191780821918,0.6627465963581295,0.6851774843916236,1,2.9426316451256386e-06,1.238000988956263e-05
9,0.011743334457278251,0.5809684813022613,0.821917808219178,0.7904201680672268,0.6746987951807228,0.6060180995475113,0.9333333333333333,0.7044917257683214,0.821917808219178,0.685929503766316,0.6967148742873439,1,1e-06,1e-06
