epoch,train_loss,val_loss,type_acc,type_macro_f1,part_acc,part_macro_f1,integrity_acc,integrity_macro_f1,material_acc,material_macro_f1,mean_macro_f1,backbone_trainable,backbone_lr,head_lr
1,0.8433990612112242,0.7906340599060059,0.6095890410958904,0.5436510351911025,0.46987951807228917,0.24863172606568834,0.88,0.5923913043478262,0.6917808219178082,0.4855889724310777,0.46756575950892365,0,0.0,0.0003
2,0.5827426704867132,0.6857920974493027,0.6712328767123288,0.6281160457631046,0.5301204819277109,0.4971408436524715,0.88,0.6666666666666667,0.7465753424657534,0.6327356095963318,0.6061647914196436,0,0.0,0.0002886199901104373
3,0.532287899790139,0.597661754488945,0.7671232876712328,0.7052728564967371,0.5662650602409639,0.47331421896570036,0.9,0.6947496947496947,0.7671232876712328,0.6188141923436041,0.623037740638934,1,3e-05,0.00025621246378738883
4,0.2939750400596651,0.6033772259950638,0.7328767123287672,0.7171844113020583,0.6385542168674698,0.5453006239364719,0.9133333333333333,0.7163636363636363,0.7808219178082192,0.6439106330410679,0.6556898261608086,1,2.8057368354874363e-05,0.00020771117313858088
5,0.13650704894600243,0.5786848470568657,0.773972602739726,0.7561909841102115,0.6626506024096386,0.5174489795918367,0.9133333333333333,0.7518768291131187,0.821917808219178,0.7101648833085932,0.68392041903094,1,2.275e-05,0.00015049999999999997
6,0.06049715387153214,0.5765522062778473,0.8082191780821918,0.7790309878445472,0.7349397590361446,0.7174489123269612,0.9333333333333333,0.7321428571428572,0.8082191780821918,0.6818873922420935,0.7276275373891148,1,1.55e-05,9.328882686141906e-05
7,0.026849114528760827,0.6615091979503631,0.7876712328767124,0.7489186913133185,0.6746987951807228,0.5414901960784313,0.9333333333333333,0.7321428571428572,0.8082191780821918,0.6876827469869292,0.677558622880384,1,8.250000000000004e-06,4.478753621261114e-05
8,0.014980806888819769,0.6049255922436714,0.8082191780821918,0.7791250219894721,0.7228915662650602,0.5719986518368722,0.9333333333333333,0.7321428571428572,0.815068493150685,0.6779122339939887,0.6902946912407976,1,2.9426316451256386e-06,1.238000988956263e-05
9,0.009503003723662475,0.6106541633605957,0.8082191780821918,0.7791250219894721,0.7228915662650602,0.6333333333333334,0.9333333333333333,0.7321428571428572,0.8287671232876712,0.706171247041767,0.7126931148768574,1,1e-06,1e-06
