image_file,image_width,image_height,aspect_ratio,analysis_width,analysis_height,foreground_ratio,bg_type,layout_mode,component_count,largest_component_ratio,second_component_ratio,has_scale_bar,has_overlay_text,border_brightness_mean,border_brightness_std,problem_score,bg_color_r,bg_color_g,bg_color_b,foreground_ratio_bin
data/raw/images/М102-2012-1-0494_orig.jpg,3738,3587,1.0420964594368554,160,154,0.39021915584415584,white_uniform,multi_view,8,0.18563311688311687,0.17954545454545454,0,0,253.12082006369425,12.90163408512073,0.6412345104832256,255.0,255.0,255.0,ge_0.30
data/raw/images/М102-2012-1-0496_orig.jpg,5909,3328,1.7755408653846154,160,90,0.37027777777777776,white_uniform,single_object,5,0.1554861111111111,0.15527777777777776,0,0,253.09175,10.656239629841808,0.5741050894045754,255.0,255.0,255.0,ge_0.30
data/raw/images/М102-2012-1-0529_orig.jpg,5069,5238,0.9677357770141275,155,160,0.22532258064516128,white_uniform,single_object,8,0.08008064516129032,0.06729838709677419,0,0,253.41190476190476,11.9792055752104,0.03279618659530788,255.0,255.0,255.0,0.15_0.30
data/raw/images/М102-2012-1-0585_orig.jpg,3984,5176,0.7697063369397218,123,160,0.2992378048780488,white_uniform,single_object,7,0.11554878048780488,0.11514227642276423,0,0,251.08583627797404,17.66909842858557,0.26174621747624766,255.0,255.0,255.0,0.15_0.30
data/raw/images/М102-2012-1-0603_orig.jpg,4168,5632,0.7400568181818182,118,160,0.23252118644067796,white_uniform,single_object,6,0.07372881355932204,0.05201271186440678,0,0,253.2266936450839,11.220560284619967,0.3010283144046754,255.0,255.0,255.0,0.15_0.30
data/raw/images/М102-2012-1-0611_orig.jpg,7992,4248,1.88135593220339,160,85,0.3382352941176471,light_photo,single_object,5,0.12029411764705883,0.11595588235294117,0,1,247.90595238095236,26.341779381552694,0.9319927574066147,255.0,255.0,255.0,ge_0.30
data/raw/images/М102-2012-1-0691_orig.jpg,8736,3144,2.7786259541984735,160,58,0.35323275862068965,white_uniform,single_object,4,0.15140086206896552,0.15053879310344828,0,0,251.14850917431193,16.521527490255913,1.0219565444355891,255.0,255.0,255.0,ge_0.30
data/raw/images/М102-2012-1-0752_orig.jpg,3624,6741,0.5376056964842012,86,160,0.34665697674418605,white_uniform,single_object,5,0.1525436046511628,0.1494186046511628,0,0,252.66658197831978,12.381426091224245,0.6206298936905689,255.0,255.0,255.0,ge_0.30
data/raw/images/М102-2012-1-0827_orig.jpg,2154,4524,0.4761273209549072,76,160,0.21307565789473684,light_photo,single_object,9,0.07524671052631579,0.07425986842105263,0,0,247.643979519774,25.440122725447548,0.7420699795196771,255.0,255.0,255.0,0.15_0.30
data/raw/images/М102-2012-1-0833_orig.jpg,2512,5712,0.43977591036414565,70,160,0.30125,light_photo,single_object,7,0.1261607142857143,0.11991071428571429,0,0,250.07228260869564,21.00766405713695,0.821489976431331,255.0,255.0,255.0,ge_0.30
