epoch,train_loss,val_loss,type_acc,type_macro_f1,part_acc,part_macro_f1,integrity_acc,integrity_macro_f1,material_acc,material_macro_f1,mean_macro_f1,backbone_trainable,backbone_lr,head_lr
1,1.0256289869058328,0.7465547552475562,0.7121212121212122,0.6665316940495807,0.5471698113207547,0.4384378463066988,0.9326923076923077,0.664051684356253,0.7524752475247525,0.53916600720498,0.577046807979378,0,0.0,0.0003
2,0.6906936642576437,0.6088887155056,0.6868686868686869,0.6283160506725872,0.6981132075471698,0.5853915453915454,0.9615384615384616,0.74,0.8366336633663366,0.7768018018018018,0.6826273494664836,1,3e-05,0.00022524999999999995
3,0.33707856325829616,0.5225535310231723,0.7727272727272727,0.7448853820598006,0.6792452830188679,0.5976617976617977,0.9615384615384616,0.7898989898989899,0.8514851485148515,0.7847611395245202,0.729301827286277,1,1.55e-05,7.575000000000001e-05
4,0.17434627452834708,0.4937200683813829,0.797979797979798,0.7780387916854627,0.660377358490566,0.5835964177565879,0.9615384615384616,0.7898989898989899,0.8465346534653465,0.7810512583749891,0.7331463644290074,1,1e-06,1e-06
