strategy,budget,val_material_macro_f1,val_mean_macro_f1,test_material_macro_f1,test_mean_macro_f1,delta_val_material_vs_baseline,delta_val_mean_vs_baseline,delta_val_material_vs_random_same_budget,avg_pairwise_cosine_distance,close_up_share,small_foreground_share,has_overlay_text_share,notes
baseline_seed,0,0.7030267662620604,0.6826644647765977,0.5817770757204566,0.6095858108933645,0.0,0.0,,,,,,B=0 reference (train_seed only)
coreset,50,0.7876269709882787,0.7139090482500022,0.6433652051453098,0.6454739000332965,0.08460020472621832,0.03124458347340453,0.09436097772228547,0.795060396194458,0.02,0.02,0.16,
hybrid,50,,,,,,,,0.783355712890625,0.02,0.0,0.16,
least_confidence,50,0.685929503766316,0.6967148742873439,0.7067028985507247,0.673404443657811,-0.017097262495744392,0.014050409510746209,-0.007336489499677246,0.738677442073822,0.08,0.0,0.1,
random,50,0.6932659932659933,0.6980500901843004,0.6545710974349034,0.642199256965992,-0.009760772996067146,0.015385625407702719,,0.7340720891952515,0.02,0.0,0.08,
coreset,100,0.6998494259363824,0.6973689235224012,0.7068196888475099,0.6447977706788014,-0.0031773403256779575,0.014704458745803506,-0.04097548988853328,0.774409294128418,0.03,0.02,0.16,
hybrid,100,,,,,,,,0.7696488499641418,0.02,0.01,0.18,
least_confidence,100,0.6818873922420935,0.7276275373891148,0.7330833392371027,0.6578092171797898,-0.021139374019966906,0.044963072612517085,-0.05893752358282223,0.735519289970398,0.06,0.0,0.1,
random,100,0.7408249158249157,0.7233532708323597,0.6392894181265973,0.6399235863343666,0.03779814956285532,0.04068880605576197,,0.7642940282821655,0.01,0.01,0.13,
