epoch,train_loss,val_loss,type_acc,type_macro_f1,part_acc,part_macro_f1,integrity_acc,integrity_macro_f1,material_acc,material_macro_f1,mean_macro_f1,backbone_trainable,backbone_lr,head_lr
1,0.8925249648094177,0.8295828431844712,0.6164383561643836,0.5525545330499192,0.4457831325301205,0.21937321937321935,0.8866666666666667,0.5647721454173067,0.684931506849315,0.4788144894133821,0.4538785968134568,0,0.0,0.0003
2,0.6058751142024994,0.7064562320709229,0.6643835616438356,0.6231955891469254,0.5060240963855421,0.3527792711684573,0.88,0.645483193277311,0.7191780821917808,0.5927744460181169,0.5535581249027026,0,0.0,0.0002886199901104373
3,0.5548985397815704,0.5621359407901764,0.7123287671232876,0.6650186127433629,0.5421686746987951,0.4010397316821465,0.8666666666666667,0.6501865671641791,0.8013698630136986,0.6966797900262467,0.6032311754039839,1,3e-05,0.00025621246378738883
4,0.26991323590278626,0.6227014511823654,0.6986301369863014,0.6615617801841844,0.6867469879518072,0.5535908737360643,0.9266666666666666,0.7183819764464925,0.7945205479452054,0.7138030888030887,0.6618344297924575,1,2.8057368354874363e-05,0.00020771117313858088
5,0.1215871575474739,0.555726844072342,0.7671232876712328,0.7498561948272233,0.6385542168674698,0.5185232646834478,0.94,0.7471436598613972,0.8082191780821918,0.7578893962455606,0.6933531289044073,1,2.275e-05,0.00015049999999999997
6,0.04853796854615212,0.6189348459243774,0.7808219178082192,0.7461897988213778,0.6987951807228916,0.5556306306306306,0.9266666666666666,0.7410139695495213,0.7808219178082192,0.6880612605933988,0.6827239148987321,1,1.55e-05,9.328882686141906e-05
7,0.021377287693321704,0.6417018055915833,0.8013698630136986,0.7691137676783609,0.7108433734939759,0.6253288740245262,0.9333333333333333,0.7044917257683214,0.8082191780821918,0.6932659932659933,0.6980500901843004,1,8.250000000000004e-06,4.478753621261114e-05
8,0.010898321494460106,0.6416196584701538,0.8013698630136986,0.7651025769644736,0.6867469879518072,0.6156177156177156,0.9266666666666666,0.6570359592600291,0.821917808219178,0.7054720654388049,0.6858070793202559,1,2.9426316451256386e-06,1.238000988956263e-05
9,0.007815649136900901,0.6216805905103684,0.8013698630136986,0.7679241640085757,0.6987951807228916,0.6181951944440358,0.9266666666666666,0.6570359592600291,0.821917808219178,0.7054681328403956,0.687155862638259,1,1e-06,1e-06
